numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
X00000136,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000137,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000138,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000139,CLI-999,2099-06-15,PENDIENTE,ZONA5,true
X00000140,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000141,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000142,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000142,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000144,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000145,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000146,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000147,CLI-123,2099-06-15,PENDIENTE,ZONA2,true
X00000148,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000149,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000150,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000150,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000152,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000153,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000154,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000155,CLI-67,2099-06-15,PENDIENTE,ZONA5,true
X00000156,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000157,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000158,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000158,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000160,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000161,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000162,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000163,CLI-999,2099-06-15,PENDIENTE,ZONA2,true
X00000164,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000165,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000166,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000166,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000168,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000169,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000170,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000171,CLI-123,2099-06-15,PENDIENTE,ZONA5,true
X00000172,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000173,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000174,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000174,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000176,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000177,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000178,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000179,CLI-67,2099-06-15,PENDIENTE,ZONA2,true
X00000180,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000181,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000182,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000182,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000184,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000185,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000186,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000187,CLI-999,2099-06-15,PENDIENTE,ZONA5,true
X00000188,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000189,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000190,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000190,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000192,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000193,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000194,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000195,CLI-123,2099-06-15,PENDIENTE,ZONA2,true
X00000196,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000197,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000198,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000198,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000200,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000201,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000202,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000203,CLI-67,2099-06-15,PENDIENTE,ZONA5,true
X00000204,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000205,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000206,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000206,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000208,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000209,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000210,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000211,CLI-999,2099-06-15,PENDIENTE,ZONA2,true
X00000212,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000213,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000214,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000214,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000216,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000217,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000218,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000219,CLI-123,2099-06-15,PENDIENTE,ZONA5,true
X00000220,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000221,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000222,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000222,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000224,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000225,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000226,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000227,CLI-67,2099-06-15,PENDIENTE,ZONA2,true
X00000228,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000229,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000230,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000230,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000232,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000233,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000234,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000235,CLI-999,2099-06-15,PENDIENTE,ZONA5,true
X00000236,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000237,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000238,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000238,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000240,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000241,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000242,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000243,CLI-123,2099-06-15,PENDIENTE,ZONA2,true
X00000244,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000245,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000246,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000246,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000248,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000249,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000250,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000251,CLI-67,2099-06-15,PENDIENTE,ZONA5,true
X00000252,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000253,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000254,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000254,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000256,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000257,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000258,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000259,CLI-999,2099-06-15,PENDIENTE,ZONA2,true
X00000260,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000261,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000262,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000262,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000264,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000265,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000266,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000267,CLI-123,2099-06-15,PENDIENTE,ZONA5,true
X00000268,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000269,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000270,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000270,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000272,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000273,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000274,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000275,CLI-67,2099-06-15,PENDIENTE,ZONA2,true
X00000276,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000277,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000278,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000278,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000280,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000281,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000282,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000283,CLI-999,2099-06-15,PENDIENTE,ZONA5,true
X00000284,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000285,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000286,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000286,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000288,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000289,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000290,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000291,CLI-123,2099-06-15,PENDIENTE,ZONA2,true
X00000292,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000293,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000294,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000294,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000296,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000297,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000298,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000299,CLI-67,2099-06-15,PENDIENTE,ZONA5,true
X00000300,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000301,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000302,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000302,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000304,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000305,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000306,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000307,CLI-999,2099-06-15,PENDIENTE,ZONA2,true
X00000308,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000309,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000310,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000310,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000312,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000313,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000314,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000315,CLI-123,2099-06-15,PENDIENTE,ZONA5,true
X00000316,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000317,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000318,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000318,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000320,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000321,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000322,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000323,CLI-67,2099-06-15,PENDIENTE,ZONA2,true
X00000324,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000325,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000326,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000326,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000328,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000329,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000330,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000331,CLI-999,2099-06-15,PENDIENTE,ZONA5,true
X00000332,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000333,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000334,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000334,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000336,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000337,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000338,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000339,CLI-123,2099-06-15,PENDIENTE,ZONA2,true
X00000340,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000341,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000342,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000342,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000344,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000345,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000346,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000347,CLI-67,2099-06-15,PENDIENTE,ZONA5,true
X00000348,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000349,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000350,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000350,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000352,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000353,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000354,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000355,CLI-999,2099-06-15,PENDIENTE,ZONA2,true
X00000356,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000357,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000358,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000358,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000360,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000361,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000362,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
X00000363,CLI-123,2099-06-15,PENDIENTE,ZONA5,true
X00000364,CLI-999,2015-01-01,PENDIENTE,ZONA1,false
X00000365,CLI-67,2099-06-15,ANULADO,ZONA2,false
NOPE-0000366,CLI-123,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000366,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000368,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000369,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000370,CLI-999,2099-06-15,PENDIENTE,ZONA404,false
X00000371,CLI-67,2099-06-15,PENDIENTE,ZONA2,true
X00000372,CLI-123,2015-01-01,PENDIENTE,ZONA1,false
X00000373,CLI-999,2099-06-15,ANULADO,ZONA2,false
NOPE-0000374,CLI-67,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000374,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000376,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000377,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000378,CLI-123,2099-06-15,PENDIENTE,ZONA404,false
X00000379,CLI-999,2099-06-15,PENDIENTE,ZONA5,true
X00000380,CLI-67,2015-01-01,PENDIENTE,ZONA1,false
X00000381,CLI-123,2099-06-15,ANULADO,ZONA2,false
NOPE-0000382,CLI-999,2099-06-15,PENDIENTE,ZONA3,false
NOPE-0000382,CLI-NOEXISTE,2015-01-01,ANULADO,ZONA404,true
X00000384,CLI-NOEXISTE,2099-06-15,PENDIENTE,ZONA1,false
X00000385,CLI-666,2099-06-15,PENDIENTE,ZONA2,false
X00000386,CLI-67,2099-06-15,PENDIENTE,ZONA404,false
